series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_dvd,my_storage,my_status,my_comments,my_times_watched,my_rewatch_value,my_tags,my_rewatching,my_rewatching_ep,update_on_import
31559,Prince of Stride: Alternative,TV,12,0,12,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
35848,Promare,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
13601,Psycho-Pass,TV,22,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37202,Radiant,TV,21,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
13391,Rakuen Tsuihou,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
6675,Redline,Movie,1,0,1,0000-00-00,0000-00-00,,5,,,Completed,,0,,,0,0,0
37221,Release the Spyce,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38707,RobiHachi,TV,12,0,12,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
34903,RoboMasters the Animated Series,TV,6,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
13599,Robotics;Notes,TV,22,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
28497,Rokka no Yuusha,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
25867,Rolling☆Girls,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
12531,Sakamichi no Apollon,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32542,Sakamoto Desu ga?,TV,12,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
5671,Saki,TV,25,0,25,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
10884,Saki Achiga-hen: Episode of Side-A,TV,12,0,12,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
30292,Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi,Special,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
